#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU573	0	0	2	0	0	0	0	1	31	32	18	0	0	0	0	0	0	0	0	0	0	4	3	0	0	21	0	2	4	0	1	16	0	40	2	1	5	0	0	0	3	6	0
OTU1332	0	0	1	0	0	1	2	0	0	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	7	0	0	0	3	0	0	0	0	12	0	0	1	0	0	0	0	0	0
OTU566	0	0	1	0	1	0	1	3	49	79	45	0	0	0	0	0	1	0	0	0	1	3	2	0	1	2	0	2	0	5	1	0	0	2	1	0	7	4	0	0	0	2	0
OTU625	0	0	2	0	2	2	1	2	33	32	51	0	2	6	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	3	2	2	0	0	0	0	0	0
OTU946	0	0	2	0	0	0	0	0	9	15	7	0	0	1	2	0	0	0	0	0	0	16	0	0	0	1	0	9	1	1	0	2	0	21	1	0	2	2	0	0	1	0	1
OTU802	0	0	2	8	2	2	6	6	44	80	28	80	12	0	1	2	2	0	1	0	0	18	1	1	3	1	2	0	3	8	1	5	2	20	5	8	10	1	0	6	0	1	2
OTU233	0	0	2	2	3	0	8	0	337	221	117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	2	8	0	0	0	2	1	0
OTU869	0	0	1	0	2	1	0	0	14	22	31	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	4	1	1	0	0	0	0	0
OTU542	0	0	0	11	2	0	0	0	1	6	3	0	0	0	0	1	0	0	0	1	0	13	2	0	1	2	1	4	4	3	0	4	0	3	0	0	2	1	0	1	2	0	0
OTU1103	0	0	0	4	0	4	0	2	14	20	12	3	2	1	0	2	2	0	3	0	2	8	0	1	5	2	1	16	8	9	4	3	4	18	2	4	5	5	0	2	5	5	3
OTU879	0	0	0	1	5	0	6	0	19	10	16	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	9	0	20	0	0	3	6	0	6	1	0	0	1	0	0
OTU412	0	0	0	4	0	3	14	11	381	336	304	7	3	14	3	7	0	0	0	0	0	6	0	0	1	0	0	1	2	0	6	0	0	4	3	0	4	0	0	0	1	4	1
